word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation_type,same_reading_current_forms,same_word_current_readings,jmdict_current_forms,jmdict_current_readings,jmdict_current_levels,jmdict_all_forms,jmdict_resolved,evidence_confidence,jmdict_exact_form_reading,jmdict_writing_common,jmdict_reading_common,jmdict_waller_levels,level_conflict_with_jmdict_waller,jmdict_tags,jmdict_pos,jmdict_gloss,quality_decision,priority,quality_reason
在る,ある,N5,"{""N2"": 1, ""N5"": 1}","{""community-independent"": ""N5"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to live; to be,same-reading-different-writing|same-jmdict-entry,ある|或|或る|有る,,ある|有る,ある,N5,ある|在る|有る,yes,HIGH,yes,yes,yes,N5,no,after the ～て form of a transitive verb | uk:word usually written using kana alone | usu. of inanimate objects,aux-v:auxiliary verb|v5r-i:Godan verb with 'ru' ending (irregular verb)|vi:intransitive verb,to be; to exist; to live; to have; to be located; to be equipped with,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
入口,いりぐち,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,entrance,same-reading-different-writing|same-jmdict-entry,入り口,,入り口,いりぐち,N4,いりくち|いりぐち|はいりくち|はいりぐち|入り口|入口|這入口,yes,HIGH,yes,yes,yes,N5,no,,n:noun (common) (futsuumeishi),entrance; entry; gate; approach; mouth,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
おまわりさん,おまわりさん,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,friendly term for policeman,same-reading-different-writing|same-jmdict-entry,お巡りさん,,お巡りさん,おまわりさん,N5,おまわりさん|お巡りさん|御巡りさん,yes,HIGH,yes,yes,yes,N5,no,fam:familiar language | uk:word usually written using kana alone,n:noun (common) (futsuumeishi),police officer,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
終る,おわる,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to finish,same-reading-different-writing|same-jmdict-entry,終わる,,終わる,おわる,N5,おわる|了る|卒る|畢る|竟る|終る|終わる,yes,HIGH,yes,no,yes,N5,no,after the -masu stem of a verb | as 終わって(い)る | as 終わって(い)る or 終わった | col:colloquial,suf:suffix|v5r:Godan verb with 'ru' ending|vi:intransitive verb|vt:transitive verb,to end; to come to an end; to finish; to close; to be over,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
河,かわ,N5,"{""N3"": 1, ""N5"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,river; stream,same-reading-different-writing|same-jmdict-entry,川|皮|革,,川,かわ,N5,かわ|がわ|川|河,yes,HIGH,yes,yes,yes,N5,no,suffix used with the names of rivers,n:noun (common) (futsuumeishi)|suf:suffix,river; stream; River; the ... river,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
御飯,ごはん,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,cooked rice; meal,same-reading-different-writing|same-jmdict-entry,ごはん|ご飯,,ごはん|ご飯,ごはん,N1|N5,ごはん|ご飯|御飯,yes,HIGH,yes,yes,yes,N5,no,,n:noun (common) (futsuumeishi),cooked rice; meal,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
七,しち,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,seven,same-reading-different-writing|same-writing-different-reading|same-jmdict-entry,質,なな,な|七,な|なな,N5,しち|な|なあ|なな|ひち|七|柒|漆|７,yes,HIGH,yes,yes,yes,N5,no,漆 is used in legal documents,num:numeric,seven,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
すぐに,すぐに,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,Instantly,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N5,no,uk:word usually written using kana alone,adv:adverb (fukushi),immediately; right away; at once; instantly,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
一月,ひとつき,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,one month,same-writing-different-reading,,いちがつ,,,,,yes,HIGH,yes,yes,yes,N5,no,,n:noun (common) (futsuumeishi),one month,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
昼御飯,ひるごはん,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,midday meal,same-reading-different-writing|same-jmdict-entry,昼ごはん|昼ご飯,,昼ごはん|昼ご飯,ひるごはん,N1|N5,ひるごはん|昼ごはん|昼ご飯|昼御飯,yes,HIGH,yes,no,yes,N5,no,,n:noun (common) (futsuumeishi),lunch; midday meal,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
曲る,まがる,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to turn; to bend,same-reading-different-writing|same-jmdict-entry,曲がる,,曲がる,まがる,N5,まがる|曲がる|曲る,yes,HIGH,yes,no,yes,N5,no,,v5r:Godan verb with 'ru' ending|vi:intransitive verb,to bend; to curve; to warp; to wind; to twist; to turn,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
昨夜,ゆうべ,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,last night,same-reading-different-writing|same-jmdict-entry,ゆうべ|夕べ,,ゆうべ,ゆうべ,N5,ゆうべ|ゆんべ|よべ|昨夕|昨夜,yes,HIGH,yes,yes,yes,N5,no,gikun:gikun (meaning as reading) or jukujikun (special kanji reading),adv:adverb (fukushi)|n:noun (common) (futsuumeishi),last night; yesterday evening,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
落る,おちる,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to fall or drop,same-reading-different-writing|same-jmdict-entry,落ちる,,落ちる,おちる,N4,おちる|墜ちる|落ちる|落る,yes,HIGH,yes,no,yes,N4,no,also written as 堕ちる | io:irregular okurigana usage | sl:slang,v1:Ichidan verb|vi:intransitive verb,to fall; to drop; to come down; to crash; to collapse; to cave in,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
おつり,おつり,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"change from purchase, balance",same-reading-different-writing|same-jmdict-entry,お釣り,,お釣り,おつり,N3,おつり|お釣|お釣り|御釣|御釣り,yes,HIGH,yes,yes,yes,N4,no,"col:colloquial | joc:jocular, humorous term | pol:polite (teineigo) language",n:noun (common) (futsuumeishi),change (for a purchase); toilet splashback,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
落す,おとす,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to drop,same-reading-different-writing|same-jmdict-entry,落とす,,落とす,おとす,N4,おとす|堕とす|墜とす|落す|落とす,yes,HIGH,yes,no,yes,N4,no,col:colloquial,v5s:Godan verb with 'su' ending|vt:transitive verb,to drop; to lose; to let fall; to shed (light); to cast (one's gaze); to pour in (liquid),ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
答,こたえ,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,response,same-reading-different-writing|same-jmdict-entry,応え|答え,,応え|答え,こたえ,N2|N5,こたえ|報え|応え|答|答え,yes,HIGH,yes,yes,yes,N4,no,,n:noun (common) (futsuumeishi),answer; reply; response; solution; result,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
下る,さがる,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to get down; to descend,same-reading-different-writing|same-writing-different-reading|same-jmdict-entry,下がる,くだる,下がる,さがる,N4,さがる|サガる|下がる|下る|退がる,yes,HIGH,yes,no,yes,N4,no,io:irregular okurigana usage | uk:word usually written using kana alone | usu. サガる,v5r:Godan verb with 'ru' ending|vi:intransitive verb,to come down; to go down; to fall; to drop; to sink; to get lower,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
点く,つく,N4,"{""N2"": 1, ""N4"": 1}","{""community-independent"": ""N4"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to catch fire; (electricity) comes on,same-reading-different-writing,付く|吐く|就く|点[つ]く|着く|突く,,,,,,yes,HIGH,yes,yes,yes,N2,yes,uk:word usually written using kana alone,v5k:Godan verb with 'ku' ending|vi:intransitive verb,"to be lit (of a lamp, burner, etc.); to catch fire; to ignite; to start burning; to be turned on (of a light, appliance, etc.); to come on",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
中々,なかなか,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,considerably,same-reading-different-writing|same-jmdict-entry,なかなか,,なかなか,なかなか,N4,なかなか|中々|中中|仲々|仲仲|却々|却却,yes,HIGH,yes,yes,yes,N4,no,uk:word usually written using kana alone | with a verb in the negative,adj-na:adjectival nouns or quasi-adjectives (keiyodoshi)|adj-no:nouns which may take the genitive case particle 'no'|adv:adverb (fukushi)|n:noun (common) (futsuumeishi),very; considerably; easily; readily; fairly; quite,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
舟,ふね,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,ship,same-reading-different-writing|same-jmdict-entry,船,,船,ふね,N5,ふね|槽|舟|船,yes,HIGH,yes,no,yes,N4,no,舟 is often small and hand-propelled,"ctr:counter|n-suf:noun, used as a suffix|n:noun (common) (futsuumeishi)",ship; boat; watercraft; vessel; seaplane; tank,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
リポート,リポート,N4,"{""N2"": 1, ""N4"": 1}","{""community-independent"": ""N2"", ""waller-derived"": ""N4""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,report,same-jmdict-entry,,,レポート,レポート,N3,リポート|レポート,yes,HIGH,yes,yes,yes,N4,no,,n:noun (common) (futsuumeishi)|vs:noun or participle which takes the aux. verb suru|vt:transitive verb,report; paper; reportage,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
暖まる,あたたまる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to warm up; to get warm,same-reading-different-writing|same-jmdict-entry,温まる,,温まる,あたたまる,N2,あたたまる|あったまる|ぬくまる|暖まる|温まる,yes,HIGH,yes,yes,yes,N2,yes,,v5r:Godan verb with 'ru' ending|vi:intransitive verb,to warm oneself; to sun oneself; to warm up; to get warm,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
行き,いき,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,going,same-reading-different-writing|same-writing-different-reading|same-jmdict-entry,域|息|意気|生き|粋|遺棄,ゆき,行き,ゆき,N3,いき|ゆき|往き|行き,yes,HIGH,yes,yes,yes,N3,no,usu. ゆき,"n-suf:noun, used as a suffix|n:noun (common) (futsuumeishi)",the way there; outbound leg; outbound trip; departing leg; bound for ...; outbound ticket,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
いけない,いけない,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"must not do,bad,wrong,not good",fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N3,no,after the -te form of a verb or adjective | as ...(すると|しては)いけない(から|ので) | used to express sympathy,"adj-i:adjective (keiyoushi)|exp:expressions (phrases, clauses, etc.)","bad; wrong; naughty; must not (do, be); should not; ought not to",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
いつのまにか,いつのまにか,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"before one knows,unnoticed,unawares",same-reading-different-writing|same-jmdict-entry,いつの間にか,,いつの間にか,いつのまにか,N3,いつのまにか|いつの間にか|何時の間にか,yes,HIGH,yes,yes,yes,N2,yes,,adv:adverb (fukushi),before one knows; before one becomes aware of; unnoticed; unawares,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
いらっしゃい,いらっしゃい,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,welcome,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N3,no,hon:honorific or respectful (sonkeigo) language | used as a polite imperative,int:interjection (kandoushi),come; go; stay; welcome,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.
魚,うお,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,fish,same-writing-different-reading|same-jmdict-entry,,さかな,魚,さかな,N5,うお|さかな|魚,yes,HIGH,yes,yes,no,N5,yes,,n:noun (common) (futsuumeishi),fish,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.
